"Home.Team","Home.Score","Away.Score","Away.Team"
"Werder Bremen","0","1","Ingolstadt"
"Köln","1","0","Borussia M'gla…"
"Darmstadt 98","0","3","Bayern München"
"Stuttgart","0","1","Schalke 04"
"Borussia Dortmund","3","0","Bayer Leverkusen"
"Augsburg","2","0","Hannover 96"
"Borussia M'gla…","0","3","Hamburger SV"
"Bayern München","2","1","Augsburg"
"Bayer Leverkusen","0","1","Darmstadt 98"
"Hannover 96","2","4","Borussia Dortmund"
"Hertha BSC","2","1","Stuttgart"
"Ingolstadt","0","0","Wolfsburg"
"Eintracht Fran…","6","2","Köln"
"Hoffenheim","1","3","Werder Bremen"
"Schalke 04","2","1","Mainz 05"
"Wolfsburg","3","0","Schalke 04"
"Stuttgart","1","4","Eintracht Fran…"
"Augsburg","0","1","Ingolstadt"
"Köln","2","1","Hamburger SV"
"Mainz 05","3","0","Hannover 96"
"Darmstadt 98","0","0","Hoffenheim"
"Bayern München","3","0","Bayer Leverkusen"
"Borussia Dortmund","3","1","Hertha BSC"
"Werder Bremen","2","1","Borussia M'gla…"
"Hertha BSC","1","1","Werder Bremen"
"Schalke 04","1","1","Darmstadt 98"
"Eintracht Fran…","1","1","Augsburg"
"Köln","1","1","Wolfsburg"
"Hannover 96","0","1","Bayer Leverkusen"
"Hoffenheim","1","2","Bayern München"
"Hamburger SV","3","2","Stuttgart"
"Ingolstadt","0","4","Borussia Dortmund"
"Borussia M'gla…","1","2","Mainz 05"
"Bayern München","5","0","Hamburger SV"
"Bayer Leverkusen","2","1","Hoffenheim"
"Augsburg","0","1","Hertha BSC"
"Werder Bremen","0","3","Schalke 04"
"Mainz 05","0","1","Ingolstadt"
"Darmstadt 98","2","2","Hannover 96"
"Borussia Dortmund","4","0","Borussia M'gla…"
"Wolfsburg","2","1","Eintracht Fran…"
"Stuttgart","1","3","Köln"
