team_1,team_2,score,manager_1,manager_2,season,game_week
São Paulo FC,Figueirense,2:0 (2:0),Manager:   Mílton Cruz,Manager:  ???,2012,30
Atlético Mineiro,Sport Club Recife,2:1 (0:1),Manager:   Cuca,Manager:   Vágner Mancini,2012,30
Coritiba FC,EC Bahia,2:1 (1:1),Manager:   Marquinhos Santos,Manager:   Falcão,2012,30
Clube Náutico,SE Palmeiras,1:0 (1:0),Manager:   Alexandre Gallo,Manager:  Gilson Kleina,2012,30
Fluminense RJ,Ponte Preta,2:1 (0:1),Manager:   Abel Braga,Manager:   Guto Ferreira,2012,30
Grêmio Porto Alegre,Botafogo RJ,1:1 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Oswaldo de Oliveira,2012,30
Fluminense RJ,Grêmio Porto Alegre,2:2 (0:0),Manager:   Abel Braga,Manager:   Vanderlei Luxemburgo,2012,31
Internacional,Figueirense,2:3 (1:1),Manager:   Fernandão,Manager:  ???,2012,31
Coritiba FC,Clube Náutico,2:1 (2:0),Manager:   Marquinhos Santos,Manager:   Alexandre Gallo,2012,31
EC Bahia,SE Palmeiras,0:1 (0:1),Manager:   Falcão,Manager:  Gilson Kleina,2012,31
Santos FC,Atlético Mineiro,2:2 (2:2),Manager:   Muricy Ramalho,Manager:   Cuca,2012,31
Cruzeiro EC,Corinthians SP,2:0 (1:0),Manager:   Celso Roth,Manager:   Tite,2012,31
Portuguesa (SP),Flamengo RJ,0:0 (0:0),Manager:   Geninho,Manager:   Dorival Júnior,2012,31
Botafogo RJ,Vasco da Gama,3:2 (1:2),Manager:   Oswaldo de Oliveira,Manager:   Marcelo Oliveira,2012,31
São Paulo FC,Atlético GO,2:0 (2:0),Manager:   Mílton Cruz,Manager:   Adilson Batista,2012,31
Sport Club Recife,Ponte Preta,3:1 (2:1),Manager:   Vágner Mancini,Manager:   Guto Ferreira,2012,31
SE Palmeiras,Cruzeiro EC,2:0 (0:0),Manager:  Gilson Kleina,Manager:   Celso Roth,2012,32
Corinthians SP,EC Bahia,1:1 (1:1),Manager:   Tite,Manager:   Falcão,2012,32
Grêmio Porto Alegre,Coritiba FC,0:0 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Marquinhos Santos,2012,32
Flamengo RJ,São Paulo FC,1:0 (0:0),Manager:   Dorival Júnior,Manager:   Mílton Cruz,2012,32
Atlético Mineiro,Fluminense RJ,3:2 (0:0),Manager:   Cuca,Manager:   Abel Braga,2012,32
Clube Náutico,Portuguesa (SP),0:0 (0:0),Manager:   Alexandre Gallo,Manager:   Geninho,2012,32
Ponte Preta,Santos FC,1:0 (1:0),Manager:   Guto Ferreira,Manager:   Muricy Ramalho,2012,32
Atlético GO,Sport Club Recife,0:1 (0:0),Manager:   Adilson Batista,Manager:   Vágner Mancini,2012,32
Vasco da Gama,Internacional,1:2 (1:2),Manager:   Marcelo Oliveira,Manager:   Fernandão,2012,32
Figueirense,Botafogo RJ,0:2 (0:2),Manager:  ???,Manager:   Oswaldo de Oliveira,2012,32
Fluminense RJ,Coritiba FC,2:1 (1:0),Manager:   Abel Braga,Manager:   Marquinhos Santos,2012,33
Santos FC,Clube Náutico,0:0 (0:0),Manager:   Muricy Ramalho,Manager:   Alexandre Gallo,2012,33
Ponte Preta,Cruzeiro EC,1:0 (1:0),Manager:   Guto Ferreira,Manager:   Celso Roth,2012,33
Corinthians SP,Vasco da Gama,1:0 (0:0),Manager:   Tite,Manager:   Marcelo Oliveira,2012,33
Internacional,SE Palmeiras,2:1 (1:1),Manager:   Fernandão,Manager:  Gilson Kleina,2012,33
Botafogo RJ,Atlético GO,4:0 (2:0),Manager:   Oswaldo de Oliveira,Manager:   Adilson Batista,2012,33
Figueirense,Portuguesa (SP),0:0 (0:0),Manager:  ???,Manager:   Geninho,2012,33
