team_1,team_2,score,manager_1,manager_2,season,game_week
Internacional,Coritiba FC,4:2 (3:1),Manager:   Abel Braga,Manager:   Celso Roth,2014,25
Figueirense,SE Palmeiras,3:1 (0:1),Manager:   Argél,Manager:  Ricardo Gareca,2014,25
SE Palmeiras,Chapecoense,4:2 (0:1),Manager:  Ricardo Gareca,Manager:  ???,2014,26
Flamengo RJ,Santos FC,0:1 (0:1),Manager:   Jaime,Manager:   Enderson Moreira,2014,26
Fluminense RJ,EC Bahia,1:1 (1:0),Manager:   Cristovão Borges,Manager:  Gilson Kleina,2014,26
Coritiba FC,Atlético Paranaense,1:0 (0:0),Manager:   Celso Roth,Manager:   Portugal,2014,26
EC Vitória BA,Botafogo RJ,2:1 (0:0),Manager:   Ney Franco,Manager:   Pedro Hungaro,2014,26
Grêmio Porto Alegre,São Paulo FC,0:1 (0:0),Manager:   Luiz Felipe Scolari,Manager:   Muricy Ramalho,2014,26
Corinthians SP,Sport Club Recife,3:0 (1:0),Manager:   Mano Menezes,Manager:   Eduardo Baptista,2014,26
Cruzeiro EC,Internacional,2:1 (2:0),Manager:   Marcelo Oliveira,Manager:   Abel Braga,2014,26
Criciúma EC,Atlético Mineiro,3:1 (2:1),Manager:   Gilmar,Manager:   Lévir Culpi,2014,26
Goiás EC,Figueirense,1:0 (1:0),Manager:   Ricardo Drubscky,Manager:   Argél,2014,26
Botafogo RJ,SE Palmeiras,0:1 (0:0),Manager:   Pedro Hungaro,Manager:  Ricardo Gareca,2014,27
São Paulo FC,Atlético Paranaense,1:0 (1:0),Manager:   Muricy Ramalho,Manager:   Portugal,2014,27
Coritiba FC,Criciúma EC,1:0 (1:0),Manager:   Celso Roth,Manager:   Gilmar,2014,27
EC Vitória BA,Goiás EC,2:2 (2:0),Manager:   Ney Franco,Manager:   Ricardo Drubscky,2014,27
Cruzeiro EC,Corinthians SP,0:1 (0:0),Manager:   Marcelo Oliveira,Manager:   Mano Menezes,2014,27
Grêmio Porto Alegre,Sport Club Recife,2:0 (1:0),Manager:   Luiz Felipe Scolari,Manager:   Eduardo Baptista,2014,27
Figueirense,Flamengo RJ,1:2 (0:1),Manager:   Argél,Manager:   Jaime,2014,27
Fluminense RJ,Atlético Mineiro,0:0 (0:0),Manager:   Cristovão Borges,Manager:   Lévir Culpi,2014,27
Santos FC,EC Bahia,1:0 (1:0),Manager:   Enderson Moreira,Manager:  Gilson Kleina,2014,27
Chapecoense,Internacional,5:0 (2:0),Manager:  ???,Manager:   Abel Braga,2014,27
Corinthians SP,Botafogo RJ,1:1 (1:0),Manager:   Mano Menezes,Manager:   Pedro Hungaro,2014,28
Goiás EC,Coritiba FC,3:0 (2:0),Manager:   Ricardo Drubscky,Manager:   Celso Roth,2014,28
SE Palmeiras,Grêmio Porto Alegre,2:1 (0:0),Manager:  Ricardo Gareca,Manager:   Luiz Felipe Scolari,2014,28
Flamengo RJ,Cruzeiro EC,3:0 (1:0),Manager:   Jaime,Manager:   Marcelo Oliveira,2014,28
Atlético Mineiro,São Paulo FC,1:0 (0:0),Manager:   Lévir Culpi,Manager:   Muricy Ramalho,2014,28
EC Bahia,Chapecoense,0:1 (0:1),Manager:  Gilson Kleina,Manager:  ???,2014,28
Internacional,Fluminense RJ,2:1 (0:0),Manager:   Abel Braga,Manager:   Cristovão Borges,2014,28
Sport Club Recife,EC Vitória BA,1:2 (1:2),Manager:   Eduardo Baptista,Manager:   Ney Franco,2014,28
Atlético Paranaense,Figueirense,3:0 (0:0),Manager:   Portugal,Manager:   Argél,2014,28
Criciúma EC,Santos FC,3:0 (2:0),Manager:   Gilmar,Manager:   Enderson Moreira,2014,28
Fluminense RJ,Criciúma EC,4:2 (1:1),Manager:   Cristovão Borges,Manager:   Gilmar,2014,29
São Paulo FC,EC Bahia,2:1 (1:0),Manager:   Muricy Ramalho,Manager:  Gilson Kleina,2014,29
Goiás EC,Grêmio Porto Alegre,0:0 (0:0),Manager:   Ricardo Drubscky,Manager:   Luiz Felipe Scolari,2014,29
Atlético Mineiro,Chapecoense,1:0 (1:0),Manager:   Lévir Culpi,Manager:  ???,2014,29
SE Palmeiras,Santos FC,1:3 (0:2),Manager:  Ricardo Gareca,Manager:   Enderson Moreira,2014,29
Atlético Paranaense,Flamengo RJ,2:1 (2:1),Manager:   Portugal,Manager:   Jaime,2014,29
Internacional,Corinthians SP,1:2 (0:2),Manager:   Abel Braga,Manager:   Mano Menezes,2014,29
Figueirense,Coritiba FC,4:0 (1:0),Manager:   Argél,Manager:   Celso Roth,2014,29
Botafogo RJ,Sport Club Recife,1:1 (0:1),Manager:   Pedro Hungaro,Manager:   Eduardo Baptista,2014,29
EC Vitória BA,Cruzeiro EC,0:1 (0:0),Manager:   Ney Franco,Manager:   Marcelo Oliveira,2014,29
EC Bahia,Atlético Mineiro,1:1 (0:0),Manager:  Gilson Kleina,Manager:   Lévir Culpi,2014,30
Flamengo RJ,Internacional,2:0 (0:0),Manager:   Jaime,Manager:   Abel Braga,2014,30
Corinthians SP,EC Vitória BA,2:1 (1:0),Manager:   Mano Menezes,Manager:   Ney Franco,2014,30
Cruzeiro EC,SE Palmeiras,1:1 (0:0),Manager:   Marcelo Oliveira,Manager:  Ricardo Gareca,2014,30
Criciúma EC,Atlético Paranaense,0:1 (0:0),Manager:   Gilmar,Manager:   Portugal,2014,30
Coritiba FC,Botafogo RJ,2:0 (1:0),Manager:   Celso Roth,Manager:   Pedro Hungaro,2014,30
Grêmio Porto Alegre,Figueirense,1:0 (1:0),Manager:   Luiz Felipe Scolari,Manager:   Argél,2014,30
Santos FC,Fluminense RJ,0:1 (0:0),Manager:   Enderson Moreira,Manager:   Cristovão Borges,2014,30
Chapecoense,São Paulo FC,0:0 (0:0),Manager:  ???,Manager:   Muricy Ramalho,2014,30
Sport Club Recife,Goiás EC,0:1 (0:0),Manager:   Eduardo Baptista,Manager:   Ricardo Drubscky,2014,30
Fluminense RJ,Atlético Paranaense,2:1 (0:0),Manager:   Cristovão Borges,Manager:   Portugal,2014,31
SE Palmeiras,Corinthians SP,1:1 (1:0),Manager:  Ricardo Gareca,Manager:   Mano Menezes,2014,31
Figueirense,Cruzeiro EC,1:1 (0:1),Manager:   Argél,Manager:   Marcelo Oliveira,2014,31
Coritiba FC,Grêmio Porto Alegre,1:1 (1:0),Manager:   Celso Roth,Manager:   Luiz Felipe Scolari,2014,31
Atlético Mineiro,Sport Club Recife,3:2 (1:1),Manager:   Lévir Culpi,Manager:   Eduardo Baptista,2014,31
EC Vitória BA,Criciúma EC,3:1 (0:0),Manager:   Ney Franco,Manager:   Gilmar,2014,31
Chapecoense,Santos FC,1:1 (0:1),Manager:  ???,Manager:   Enderson Moreira,2014,31
Botafogo RJ,Flamengo RJ,2:1 (1:0),Manager:   Pedro Hungaro,Manager:   Jaime,2014,31
Internacional,EC Bahia,2:0 (2:0),Manager:   Abel Braga,Manager:  Gilson Kleina,2014,31
São Paulo FC,Goiás EC,3:0 (2:0),Manager:   Muricy Ramalho,Manager:   Ricardo Drubscky,2014,31
Grêmio Porto Alegre,EC Vitória BA,1:0 (1:0),Manager:   Luiz Felipe Scolari,Manager:   Ney Franco,2014,32
Goiás EC,Fluminense RJ,0:2 (0:1),Manager:   Ricardo Drubscky,Manager:   Cristovão Borges,2014,32
Corinthians SP,Coritiba FC,2:2 (0:2),Manager:   Mano Menezes,Manager:   Celso Roth,2014,32
Sport Club Recife,Figueirense,1:0 (0:0),Manager:   Eduardo Baptista,Manager:   Argél,2014,32
Santos FC,Internacional,1:2 (0:1),Manager:   Enderson Moreira,Manager:   Abel Braga,2014,32
Cruzeiro EC,Botafogo RJ,2:1 (2:0),Manager:   Marcelo Oliveira,Manager:   Pedro Hungaro,2014,32
Criciúma EC,São Paulo FC,1:2 (0:1),Manager:  ???,Manager:   Muricy Ramalho,2014,32
Flamengo RJ,Chapecoense,3:0 (0:0),Manager:   Jaime,Manager:  ???,2014,32
Atlético Paranaense,Atlético Mineiro,1:0 (1:0),Manager:   Portugal,Manager:   Lévir Culpi,2014,32
EC Bahia,SE Palmeiras,0:1 (0:1),Manager:  Gilson Kleina,Manager:  Ricardo Gareca,2014,32
SE Palmeiras,Atlético Mineiro,0:2 (0:1),Manager:  Ricardo Gareca,Manager:   Lévir Culpi,2014,33
Coritiba FC,Fluminense RJ,1:0 (1:0),Manager:   Celso Roth,Manager:   Cristovão Borges,2014,33
Botafogo RJ,Atlético Paranaense,0:2 (0:1),Manager:   Pedro Hungaro,Manager:   Portugal,2014,33
Sport Club Recife,Flamengo RJ,2:2 (0:2),Manager:   Eduardo Baptista,Manager:   Jaime,2014,33
EC Vitória BA,São Paulo FC,1:2 (0:1),Manager:   Ney Franco,Manager:   Muricy Ramalho,2014,33
Grêmio Porto Alegre,Internacional,4:1 (1:0),Manager:   Luiz Felipe Scolari,Manager:   Abel Braga,2014,33
Figueirense,Chapecoense,1:0 (0:0),Manager:   Argél,Manager:  ???,2014,33
Corinthians SP,Santos FC,1:0 (1:0),Manager:   Mano Menezes,Manager:   Enderson Moreira,2014,33
Cruzeiro EC,Criciúma EC,3:1 (0:1),Manager:   Marcelo Oliveira,Manager:  ???,2014,33
Goiás EC,EC Bahia,3:0 (0:0),Manager:   Ricardo Drubscky,Manager:  Gilson Kleina,2014,33
Fluminense RJ,Botafogo RJ,1:0 (0:0),Manager:   Cristovão Borges,Manager:   Pedro Hungaro,2014,34
Criciúma EC,Grêmio Porto Alegre,0:3 (0:2),Manager:  ???,Manager:   Luiz Felipe Scolari,2014,34
Flamengo RJ,Coritiba FC,3:2 (1:0),Manager:   Jaime,Manager:   Celso Roth,2014,34
Santos FC,Cruzeiro EC,0:1 (0:0),Manager:   Enderson Moreira,Manager:   Marcelo Oliveira,2014,34
Atlético Paranaense,Sport Club Recife,0:1 (0:0),Manager:   Portugal,Manager:   Eduardo Baptista,2014,34
EC Bahia,Corinthians SP,1:2 (0:1),Manager:  ???,Manager:   Mano Menezes,2014,34
Internacional,Goiás EC,1:0 (0:0),Manager:   Abel Braga,Manager:   Ricardo Drubscky,2014,34
São Paulo FC,SE Palmeiras,2:0 (1:0),Manager:   Muricy Ramalho,Manager:  Ricardo Gareca,2014,34
Atlético Mineiro,Figueirense,1:1 (0:1),Manager:   Lévir Culpi,Manager:   Argél,2014,34
Chapecoense,EC Vitória BA,0:1 (0:0),Manager:  ???,Manager:   Ney Franco,2014,34
São Paulo FC,Internacional,1:1 (0:1),Manager:   Muricy Ramalho,Manager:   Abel Braga,2014,35
Botafogo RJ,Figueirense,0:1 (0:0),Manager:   Pedro Hungaro,Manager:   Argél,2014,35
Atlético Paranaense,Santos FC,1:1 (0:1),Manager:   Portugal,Manager:   Enderson Moreira,2014,35
EC Vitória BA,Coritiba FC,1:1 (1:1),Manager:   Ney Franco,Manager:   Celso Roth,2014,35
Criciúma EC,EC Bahia,0:1 (0:0),Manager:  ???,Manager:  ???,2014,35
Goiás EC,Corinthians SP,0:1 (0:1),Manager:   Ricardo Drubscky,Manager:   Mano Menezes,2014,35
SE Palmeiras,Sport Club Recife,0:2 (0:0),Manager:  Ricardo Gareca,Manager:   Eduardo Baptista,2014,35
Atlético Mineiro,Flamengo RJ,4:0 (2:0),Manager:   Lévir Culpi,Manager:   Jaime,2014,35
Fluminense RJ,Chapecoense,1:4 (0:0),Manager:   Cristovão Borges,Manager:  ???,2014,35
Grêmio Porto Alegre,Cruzeiro EC,1:2 (1:0),Manager:   Luiz Felipe Scolari,Manager:   Marcelo Oliveira,2014,35
Internacional,Atlético Mineiro,2:1 (1:1),Manager:   Abel Braga,Manager:   Lévir Culpi,2014,36
EC Bahia,Atlético Paranaense,1:2 (0:0),Manager:  ???,Manager:   Portugal,2014,36
Flamengo RJ,Criciúma EC,1:1 (1:0),Manager:   Jaime,Manager:  ???,2014,36
Sport Club Recife,Fluminense RJ,2:2 (2:1),Manager:   Eduardo Baptista,Manager:   Cristovão Borges,2014,36
Santos FC,São Paulo FC,0:1 (0:0),Manager:   Enderson Moreira,Manager:   Muricy Ramalho,2014,36
Cruzeiro EC,Goiás EC,2:1 (1:1),Manager:   Marcelo Oliveira,Manager:   Ricardo Drubscky,2014,36
Figueirense,EC Vitória BA,2:0 (1:0),Manager:   Argél,Manager:   Ney Franco,2014,36
Corinthians SP,Grêmio Porto Alegre,1:0 (0:0),Manager:   Mano Menezes,Manager:   Luiz Felipe Scolari,2014,36
Coritiba FC,SE Palmeiras,2:0 (0:0),Manager:   Celso Roth,Manager:  Ricardo Gareca,2014,36
Chapecoense,Botafogo RJ,2:0 (0:0),Manager:  ???,Manager:   Pedro Hungaro,2014,36
Internacional,SE Palmeiras,3:1 (1:1),Manager:   Abel Braga,Manager:  Ricardo Gareca,2014,37
Criciúma EC,Sport Club Recife,2:2 (0:1),Manager:  ???,Manager:   Eduardo Baptista,2014,37
Flamengo RJ,EC Vitória BA,4:0 (1:0),Manager:   Jaime,Manager:   Ney Franco,2014,37
Fluminense RJ,Corinthians SP,5:2 (1:1),Manager:   Cristovão Borges,Manager:   Mano Menezes,2014,37
São Paulo FC,Figueirense,1:1 (0:0),Manager:   Muricy Ramalho,Manager:   Argél,2014,37
Santos FC,Botafogo RJ,2:0 (0:0),Manager:   Enderson Moreira,Manager:   Pedro Hungaro,2014,37
Chapecoense,Cruzeiro EC,1:1 (1:0),Manager:  ???,Manager:   Marcelo Oliveira,2014,37
Atlético Paranaense,Goiás EC,1:0 (0:0),Manager:   Portugal,Manager:   Ricardo Drubscky,2014,37
EC Bahia,Grêmio Porto Alegre,1:0 (1:0),Manager:  ???,Manager:   Luiz Felipe Scolari,2014,37
Atlético Mineiro,Coritiba FC,1:2 (0:1),Manager:   Lévir Culpi,Manager:   Celso Roth,2014,37
Corinthians SP,Criciúma EC,2:1 (1:0),Manager:   Mano Menezes,Manager:  ???,2014,38
Figueirense,Internacional,1:2 (0:0),Manager:   Argél,Manager:   Abel Braga,2014,38
Botafogo RJ,Atlético Mineiro,0:0 (0:0),Manager:   Pedro Hungaro,Manager:   Lévir Culpi,2014,38
Sport Club Recife,São Paulo FC,1:0 (1:0),Manager:   Eduardo Baptista,Manager:   Muricy Ramalho,2014,38
SE Palmeiras,Atlético Paranaense,1:1 (1:1),Manager:  Ricardo Gareca,Manager:   Portugal,2014,38
Coritiba FC,EC Bahia,3:2 (1:2),Manager:   Celso Roth,Manager:  ???,2014,38
Cruzeiro EC,Fluminense RJ,2:1 (1:1),Manager:   Marcelo Oliveira,Manager:   Cristovão Borges,2014,38
EC Vitória BA,Santos FC,0:1 (0:0),Manager:   Ney Franco,Manager:   Enderson Moreira,2014,38
Grêmio Porto Alegre,Flamengo RJ,1:1 (0:1),Manager:   Luiz Felipe Scolari,Manager:   Jaime,2014,38
Goiás EC,Chapecoense,4:2 (2:1),Manager:   Ricardo Drubscky,Manager:  ???,2014,38
SE Palmeiras,Atlético Mineiro,2:2 (0:0),Manager:   Oswaldo de Oliveira,Manager:   Lévir Culpi,2015,1
Chapecoense,Coritiba FC,2:1 (1:1),Manager:   Vinícius Eutrópio,Manager:   Marquinhos Santos,2015,1
Fluminense RJ,Joinville EC,1:0 (0:0),Manager:   Ricardo Drubscky,Manager:   Hemerson Maria,2015,1
Grêmio Porto Alegre,Ponte Preta,3:3 (1:0),Manager:   Luiz Felipe Scolari,Manager:   Guto Ferreira,2015,1
São Paulo FC,Flamengo RJ,2:1 (0:0),Manager:   Mílton Cruz,Manager:   Vanderlei Luxemburgo,2015,1
Cruzeiro EC,Corinthians SP,0:1 (0:0),Manager:   Marcelo Oliveira,Manager:   Tite,2015,1
Atlético Paranaense,Internacional,3:0 (1:0),Manager:   Milton Mendes,Manager:  Diego Aguirre,2015,1
Sport Club Recife,Figueirense,4:1 (1:0),Manager:   Eduardo Baptista,Manager:   Argél,2015,1
Vasco da Gama,Goiás EC,0:0 (0:0),Manager:   Doriva,Manager:   Hélio dos Anjos,2015,1
Avaí FC,Santos FC,1:1 (0:1),Manager:  Gilson Kleina,Manager:   Marcelo Fernandes,2015,1
Coritiba FC,Grêmio Porto Alegre,2:0 (2:0),Manager:   Marquinhos Santos,Manager:   Luiz Felipe Scolari,2015,2
Goiás EC,Atlético Paranaense,2:0 (0:0),Manager:   Hélio dos Anjos,Manager:   Milton Mendes,2015,2
Corinthians SP,Chapecoense,1:0 (1:0),Manager:   Tite,Manager:   Vinícius Eutrópio,2015,2
Figueirense,Vasco da Gama,0:0 (0:0),Manager:   Argél,Manager:   Doriva,2015,2
Santos FC,Cruzeiro EC,1:0 (1:0),Manager:   Marcelo Fernandes,Manager:   Marcelo Oliveira,2015,2
Flamengo RJ,Sport Club Recife,2:2 (0:1),Manager:   Vanderlei Luxemburgo,Manager:   Eduardo Baptista,2015,2
Atlético Mineiro,Fluminense RJ,4:1 (2:0),Manager:   Lévir Culpi,Manager:   Ricardo Drubscky,2015,2
Ponte Preta,São Paulo FC,1:0 (1:0),Manager:   Guto Ferreira,Manager:   Mílton Cruz,2015,2
Internacional,Avaí FC,1:0 (0:0),Manager:  Diego Aguirre,Manager:  Gilson Kleina,2015,2
Joinville EC,SE Palmeiras,0:0 (0:0),Manager:   Hemerson Maria,Manager:   Oswaldo de Oliveira,2015,2
São Paulo FC,Joinville EC,3:0 (1:0),Manager:   Mílton Cruz,Manager:   Hemerson Maria,2015,3
Vasco da Gama,Internacional,1:1 (0:1),Manager:   Doriva,Manager:  Diego Aguirre,2015,3
Grêmio Porto Alegre,Figueirense,1:0 (0:0),Manager:   James Freitas,Manager:   Argél,2015,3
SE Palmeiras,Goiás EC,0:1 (0:0),Manager:   Oswaldo de Oliveira,Manager:   Hélio dos Anjos,2015,3
Fluminense RJ,Corinthians SP,0:0 (0:0),Manager:   Enderson Moreira,Manager:   Tite,2015,3
Avaí FC,Flamengo RJ,2:1 (0:0),Manager:  Gilson Kleina,Manager:   Vanderlei Luxemburgo,2015,3
Atlético Paranaense,Atlético Mineiro,1:0 (1:0),Manager:   Milton Mendes,Manager:   Lévir Culpi,2015,3
Chapecoense,Santos FC,1:0 (1:0),Manager:   Vinícius Eutrópio,Manager:   Marcelo Fernandes,2015,3
Cruzeiro EC,Ponte Preta,1:1 (0:0),Manager:   Marcelo Oliveira,Manager:   Guto Ferreira,2015,3
Sport Club Recife,Coritiba FC,1:0 (1:0),Manager:   Eduardo Baptista,Manager:   Marquinhos Santos,2015,3
Ponte Preta,Chapecoense,3:1 (1:0),Manager:   Guto Ferreira,Manager:   Vinícius Eutrópio,2015,4
Coritiba FC,Avaí FC,1:2 (0:1),Manager:   Marquinhos Santos,Manager:  Gilson Kleina,2015,4
Joinville EC,Atlético Paranaense,1:2 (0:2),Manager:   Hemerson Maria,Manager:   Milton Mendes,2015,4
Santos FC,Sport Club Recife,2:2 (1:0),Manager:   Marcelo Fernandes,Manager:   Eduardo Baptista,2015,4
Corinthians SP,SE Palmeiras,0:2 (0:2),Manager:   Tite,Manager:   Oswaldo de Oliveira,2015,4
Internacional,São Paulo FC,0:0 (0:0),Manager:  Diego Aguirre,Manager:  Juan Carlos Osorio,2015,4
Atlético Mineiro,Vasco da Gama,3:0 (3:0),Manager:   Lévir Culpi,Manager:   Doriva,2015,4
Goiás EC,Grêmio Porto Alegre,1:1 (0:1),Manager:   Hélio dos Anjos,Manager:   Roger,2015,4
Flamengo RJ,Fluminense RJ,2:3 (1:2),Manager:   Cristovão Borges,Manager:   Enderson Moreira,2015,4
Figueirense,Cruzeiro EC,2:1 (1:1),Manager:   Argél,Manager:   Marcelo Oliveira,2015,4
Vasco da Gama,Ponte Preta,0:3 (0:2),Manager:   Doriva,Manager:   Guto Ferreira,2015,5
Atlético Paranaense,Figueirense,1:0 (1:0),Manager:   Milton Mendes,Manager:   Argél,2015,5
Chapecoense,Joinville EC,2:0 (2:0),Manager:   Vinícius Eutrópio,Manager:   Hemerson Maria,2015,5
São Paulo FC,Santos FC,3:2 (1:1),Manager:  Juan Carlos Osorio,Manager:   Marcelo Fernandes,2015,5
Grêmio Porto Alegre,Corinthians SP,3:1 (3:1),Manager:   Roger,Manager:   Tite,2015,5
Cruzeiro EC,Flamengo RJ,1:0 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Cristovão Borges,2015,5
Avaí FC,Atlético Mineiro,1:4 (0:2),Manager:  Gilson Kleina,Manager:   Lévir Culpi,2015,5
Fluminense RJ,Coritiba FC,2:0 (1:0),Manager:   Enderson Moreira,Manager:   Marquinhos Santos,2015,5
SE Palmeiras,Internacional,1:1 (0:0),Manager:   Oswaldo de Oliveira,Manager:  Diego Aguirre,2015,5
Sport Club Recife,Goiás EC,1:0 (0:0),Manager:   Eduardo Baptista,Manager:   Hélio dos Anjos,2015,5
Santos FC,Ponte Preta,2:2 (1:0),Manager:   Marcelo Fernandes,Manager:   Guto Ferreira,2015,6
Flamengo RJ,Chapecoense,1:0 (0:0),Manager:   Cristovão Borges,Manager:   Vinícius Eutrópio,2015,6
Atlético Mineiro,Cruzeiro EC,1:3 (1:1),Manager:   Lévir Culpi,Manager:   Vanderlei Luxemburgo,2015,6
São Paulo FC,Grêmio Porto Alegre,2:0 (1:0),Manager:  Juan Carlos Osorio,Manager:   Roger,2015,6
Atlético Paranaense,Vasco da Gama,2:0 (0:0),Manager:   Milton Mendes,Manager:   Doriva,2015,6
Joinville EC,Corinthians SP,0:1 (0:1),Manager:   Hemerson Maria,Manager:   Tite,2015,6
Internacional,Coritiba FC,2:0 (2:0),Manager:  Diego Aguirre,Manager:   Marquinhos Santos,2015,6
Fluminense RJ,Sport Club Recife,0:0 (0:0),Manager:   Enderson Moreira,Manager:   Eduardo Baptista,2015,6
Figueirense,SE Palmeiras,2:1 (1:1),Manager:   Argél,Manager:   Oswaldo de Oliveira,2015,6
Goiás EC,Avaí FC,0:1 (0:0),Manager:   Hélio dos Anjos,Manager:  Gilson Kleina,2015,6
Atlético Mineiro,Santos FC,2:2 (2:1),Manager:   Lévir Culpi,Manager:   Marcelo Fernandes,2015,7
Corinthians SP,Internacional,2:1 (0:1),Manager:   Tite,Manager:  Diego Aguirre,2015,7
Coritiba FC,Flamengo RJ,0:1 (0:1),Manager:   Ney Franco,Manager:   Cristovão Borges,2015,7
Chapecoense,São Paulo FC,0:1 (0:1),Manager:   Vinícius Eutrópio,Manager:  Juan Carlos Osorio,2015,7
Vasco da Gama,Cruzeiro EC,1:3 (0:1),Manager:   Doriva,Manager:   Vanderlei Luxemburgo,2015,7
Sport Club Recife,Joinville EC,2:1 (2:0),Manager:   Eduardo Baptista,Manager:   Hemerson Maria,2015,7
Ponte Preta,Goiás EC,0:0 (0:0),Manager:   Guto Ferreira,Manager:   Hélio dos Anjos,2015,7
SE Palmeiras,Fluminense RJ,2:1 (1:1),Manager:   Marcelo Oliveira,Manager:   Enderson Moreira,2015,7
Grêmio Porto Alegre,Atlético Paranaense,2:1 (1:0),Manager:   Roger,Manager:   Milton Mendes,2015,7
Avaí FC,Figueirense,1:1 (1:1),Manager:  Gilson Kleina,Manager:   Argél,2015,7
Figueirense,Internacional,0:0 (0:0),Manager:   Argél,Manager:  Diego Aguirre,2015,8
Santos FC,Corinthians SP,1:0 (1:0),Manager:   Marcelo Fernandes,Manager:   Tite,2015,8
Flamengo RJ,Atlético Mineiro,0:2 (0:2),Manager:   Cristovão Borges,Manager:   Lévir Culpi,2015,8
Sport Club Recife,Vasco da Gama,2:1 (1:1),Manager:   Eduardo Baptista,Manager:   Doriva,2015,8
Grêmio Porto Alegre,SE Palmeiras,1:0 (0:0),Manager:   Roger,Manager:   Marcelo Oliveira,2015,8
Cruzeiro EC,Chapecoense,0:1 (0:1),Manager:   Vanderlei Luxemburgo,Manager:   Vinícius Eutrópio,2015,8
São Paulo FC,Avaí FC,1:1 (0:0),Manager:  Juan Carlos Osorio,Manager:  Gilson Kleina,2015,8
Atlético Paranaense,Coritiba FC,2:2 (1:1),Manager:   Milton Mendes,Manager:   Ney Franco,2015,8
Joinville EC,Goiás EC,2:1 (2:1),Manager:   Hemerson Maria,Manager:   Hélio dos Anjos,2015,8
Fluminense RJ,Ponte Preta,2:0 (0:0),Manager:   Enderson Moreira,Manager:   Guto Ferreira,2015,8
Avaí FC,Grêmio Porto Alegre,1:2 (0:2),Manager:  Gilson Kleina,Manager:   Roger,2015,9
Chapecoense,Sport Club Recife,1:1 (0:1),Manager:   Vinícius Eutrópio,Manager:   Eduardo Baptista,2015,9
Corinthians SP,Figueirense,2:1 (0:0),Manager:   Tite,Manager:   Argél,2015,9
Atlético Mineiro,Joinville EC,1:0 (1:0),Manager:   Lévir Culpi,Manager:   Hemerson Maria,2015,9
SE Palmeiras,São Paulo FC,4:0 (2:0),Manager:   Marcelo Oliveira,Manager:  Juan Carlos Osorio,2015,9
Ponte Preta,Atlético Paranaense,2:1 (1:1),Manager:   Guto Ferreira,Manager:   Milton Mendes,2015,9
Coritiba FC,Cruzeiro EC,1:0 (0:0),Manager:   Ney Franco,Manager:   Vanderlei Luxemburgo,2015,9
Goiás EC,Fluminense RJ,1:2 (1:0),Manager:   Hélio dos Anjos,Manager:   Enderson Moreira,2015,9
Vasco da Gama,Flamengo RJ,1:0 (1:0),Manager:   Doriva,Manager:   Cristovão Borges,2015,9
Internacional,Santos FC,1:0 (0:0),Manager:  Diego Aguirre,Manager:   Marcelo Fernandes,2015,9
Vasco da Gama,Avaí FC,1:0 (0:0),Manager:   Doriva,Manager:  Gilson Kleina,2015,10
Sport Club Recife,Internacional,3:0 (3:0),Manager:   Eduardo Baptista,Manager:  Diego Aguirre,2015,10
SE Palmeiras,Chapecoense,2:0 (1:0),Manager:   Marcelo Oliveira,Manager:   Vinícius Eutrópio,2015,10
Atlético Mineiro,Coritiba FC,2:0 (1:0),Manager:   Lévir Culpi,Manager:   Ney Franco,2015,10
Grêmio Porto Alegre,Cruzeiro EC,1:0 (0:0),Manager:   Roger,Manager:   Vanderlei Luxemburgo,2015,10
Atlético Paranaense,São Paulo FC,2:1 (1:0),Manager:   Milton Mendes,Manager:  Juan Carlos Osorio,2015,10
Joinville EC,Flamengo RJ,0:1 (0:0),Manager:   Hemerson Maria,Manager:   Cristovão Borges,2015,10
Corinthians SP,Ponte Preta,2:0 (1:0),Manager:   Tite,Manager:   Guto Ferreira,2015,10
Figueirense,Goiás EC,3:1 (2:0),Manager:   Argél,Manager:   Julinho Camargo,2015,10
Fluminense RJ,Santos FC,2:1 (1:0),Manager:   Enderson Moreira,Manager:   Marcelo Fernandes,2015,10
Coritiba FC,Joinville EC,0:0 (0:0),Manager:   Ney Franco,Manager:   Hemerson Maria,2015,11
Cruzeiro EC,Atlético Paranaense,2:0 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Milton Mendes,2015,11
Chapecoense,Vasco da Gama,1:0 (0:0),Manager:   Vinícius Eutrópio,Manager:   Doriva,2015,11
Avaí FC,Sport Club Recife,2:2 (2:1),Manager:  Gilson Kleina,Manager:   Eduardo Baptista,2015,11
São Paulo FC,Fluminense RJ,0:0 (0:0),Manager:  Juan Carlos Osorio,Manager:   Enderson Moreira,2015,11
Santos FC,Grêmio Porto Alegre,1:3 (0:1),Manager:   Marcelo Fernandes,Manager:   Roger,2015,11
Goiás EC,Corinthians SP,0:0 (0:0),Manager:   Julinho Camargo,Manager:   Tite,2015,11
Ponte Preta,SE Palmeiras,0:2 (0:2),Manager:   Guto Ferreira,Manager:   Marcelo Oliveira,2015,11
Flamengo RJ,Figueirense,1:2 (0:0),Manager:   Cristovão Borges,Manager:   Argél,2015,11
Internacional,Atlético Mineiro,1:3 (0:0),Manager:  Diego Aguirre,Manager:   Lévir Culpi,2015,11
Coritiba FC,Ponte Preta,0:0 (0:0),Manager:   Ney Franco,Manager:   Guto Ferreira,2015,12
