"selection1_team_1","selection1_team_2","selection1_team_2_url","selection1_score","selection1_score_url"
"Chicago Fire","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","2:0 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-chicago-fire-columbus-crew/"
"New York RB","Real Salt Lake","http://usa.worldfootball.net/teams/real-salt-lake/","0:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-new-york-rb-real-salt-lake/"
"FC Dallas","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","2:2 (2:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-fc-dallas-colorado-rapids/"
"D.C. United","San Jose Earthquakes","http://usa.worldfootball.net/teams/san-jose-earthquakes/","0:2 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-d-c-united-san-jose-earthquakes/"
"Kansas City Wizards","Seattle Sounders","http://usa.worldfootball.net/teams/seattle-sounders/","1:2 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-kansas-city-wizards-seattle-sounders/"
"CD Chivas","Toronto FC","http://usa.worldfootball.net/teams/toronto-fc/","3:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-cd-chivas-toronto-fc/"
"Houston Dynamo","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","1:2 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-houston-dynamo-new-england-revolution/"
"Chicago Fire","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","0:2 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-chicago-fire-kansas-city-wizards/"
"Seattle Sounders","CD Chivas","http://usa.worldfootball.net/teams/cd-chivas/","2:1 (2:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-seattle-sounders-cd-chivas/"
"Chicago Fire","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","0:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-chicago-fire-d-c-united/"
"Toronto FC","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","2:2 (2:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-toronto-fc-columbus-crew/"
"Philadelphia Union","New York RB","http://usa.worldfootball.net/teams/new-york-rb/","2:1 (2:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-philadelphia-union-new-york-rb/"
"New England Revolution","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","1:0 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-new-england-revolution-kansas-city-wizards/"
"Real Salt Lake","FC Dallas","http://usa.worldfootball.net/teams/fc-dallas/","2:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-real-salt-lake-fc-dallas/"
"San Jose Earthquakes","Houston Dynamo","http://usa.worldfootball.net/teams/houston-dynamo/","0:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-san-jose-earthquakes-houston-dynamo/"
"Los Angeles Galaxy","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","1:3 (1:2)","http://usa.worldfootball.net/report/major-league-soccer-2010-los-angeles-galaxy-colorado-rapids/"
"San Jose Earthquakes","CD Chivas","http://usa.worldfootball.net/teams/cd-chivas/","3:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-san-jose-earthquakes-cd-chivas/"
"New York RB","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","2:0 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-new-york-rb-new-england-revolution/"
"Houston Dynamo","Seattle Sounders","http://usa.worldfootball.net/teams/seattle-sounders/","2:1 (1:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-houston-dynamo-seattle-sounders/"
"D.C. United","Toronto FC","http://usa.worldfootball.net/teams/toronto-fc/","2:3 (2:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-d-c-united-toronto-fc/"
"Kansas City Wizards","San Jose Earthquakes","http://usa.worldfootball.net/teams/san-jose-earthquakes/","4:1 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-kansas-city-wizards-san-jose-earthquakes/"
"Colorado Rapids","Real Salt Lake","http://usa.worldfootball.net/teams/real-salt-lake/","2:2 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-colorado-rapids-real-salt-lake/"
"CD Chivas","Chicago Fire","http://usa.worldfootball.net/teams/chicago-fire/","1:4 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-cd-chivas-chicago-fire/"
"Columbus Crew","Philadelphia Union","http://usa.worldfootball.net/teams/philadelphia-union/","3:1 (2:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-columbus-crew-philadelphia-union/"
"Los Angeles Galaxy","FC Dallas","http://usa.worldfootball.net/teams/fc-dallas/","2:1 (1:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-los-angeles-galaxy-fc-dallas/"
